Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Brandon Pfaadt,25,11,10,.524,4.71,32,32,0,0,0,0,181.2,183,103,95,24,42,1,185,4,0,1,760,89,3.61,1.239,9.1,1.2,2.1,9.2,4.40,pfaadbr01
2,SP,Ryne Nelson,26,10,6,.625,4.24,28,25,1,0,0,1,150.2,155,73,71,17,34,2,126,5,0,4,630,99,3.74,1.254,9.3,1.0,2.0,7.5,3.71,nelsory01
3,SP,Zac Gallen,28,14,6,.700,3.65,28,28,0,0,0,0,148.0,133,62,60,13,54,0,156,4,0,5,621,115,3.38,1.264,8.1,0.8,3.3,9.5,2.89,galleza01
4,SP,Jordan Montgomery*,31,8,7,.533,6.23,25,21,3,0,0,1,117.0,149,83,81,14,44,3,83,2,0,7,532,67,4.48,1.650,11.5,1.1,3.4,6.4,1.89,montgjo01
5,SP,Slade Cecconi,25,2,7,.222,6.66,20,13,2,0,0,0,77.0,92,57,57,16,17,1,64,4,1,2,338,63,5.02,1.416,10.8,1.9,2.0,7.5,3.76,ceccosl01
6,SP,Merrill Kelly,35,5,1,.833,4.03,13,13,0,0,0,0,73.2,67,35,33,11,19,0,63,2,2,1,300,104,4.25,1.167,8.2,1.3,2.3,7.7,3.32,kellyme01
7,CL,Paul Sewald,34,1,2,.333,4.31,42,0,34,0,0,16,39.2,35,19,19,6,10,1,43,3,0,0,165,98,3.95,1.134,7.9,1.4,2.3,9.8,4.30,sewalpa01
8,RP,Justin Martinez,22,5,6,.455,2.48,64,0,28,0,0,8,72.2,59,26,20,2,36,6,91,2,1,8,308,170,2.59,1.307,7.3,0.2,4.5,11.3,2.53,martiju01
9,RP,Kevin Ginkel,30,8,3,.727,3.21,72,0,16,0,0,5,70.0,69,31,25,6,15,0,77,3,0,4,291,131,2.85,1.200,8.9,0.8,1.9,9.9,5.13,ginkeke01
10,RP,Ryan Thompson,32,7,5,.583,3.26,67,0,4,0,0,2,66.1,64,26,24,5,15,2,52,1,0,2,272,129,3.30,1.191,8.7,0.7,2.0,7.1,3.47,thompry02
11,RP,Joe Mantiply*,33,6,2,.750,3.92,75,2,8,0,0,1,59.2,52,27,26,1,18,7,53,0,1,3,243,107,2.51,1.173,7.8,0.2,2.7,8.0,2.94,mantijo01
12,,Bryce Jarvis,26,1,2,.333,3.19,44,0,17,0,0,0,59.1,52,25,21,6,33,4,38,5,0,4,258,132,5.12,1.433,7.9,0.9,5.0,5.8,1.15,jarvibr01
13,,Eduardo Rodríguez*,31,3,4,.429,5.04,10,10,0,0,0,0,50.0,56,29,28,8,19,1,47,1,0,0,224,84,4.57,1.500,10.1,1.4,3.4,8.5,2.47,rodried05
14,,Tommy Henry*,26,2,3,.400,7.04,9,7,1,0,0,0,38.1,49,31,30,9,18,0,30,4,0,0,182,60,6.38,1.748,11.5,2.1,4.2,7.0,1.67,henryto01
15,,Scott McGough,34,1,3,.250,7.44,26,2,7,0,0,0,32.2,34,30,27,6,21,0,25,1,1,1,150,57,6.04,1.684,9.4,1.7,5.8,6.9,1.19,mcgousc01
16,,Yilber Diaz,23,1,1,.500,3.81,7,4,1,0,0,0,28.1,27,13,12,3,12,0,19,0,0,1,119,111,4.47,1.376,8.6,1.0,3.8,6.0,1.58,diazyi01
17,,Logan Allen*,27,0,1,.000,5.46,12,0,4,0,0,1,28.0,32,17,17,3,10,0,21,2,0,0,128,77,4.35,1.500,10.3,1.0,3.2,6.8,2.10,allenlo01
18,,A.J. Puk*,29,0,1,.000,1.32,30,0,5,0,0,2,27.1,15,4,4,2,5,2,43,1,0,0,103,322,1.63,0.732,4.9,0.7,1.6,14.2,8.60,pukaj01
19,,Blake Walston*,23,1,0,1.000,4.42,7,2,3,0,0,0,18.1,16,12,9,4,10,0,18,3,0,0,83,96,6.17,1.418,7.9,2.0,4.9,8.8,1.80,walstbl01
20,,Brandon Hughes*,28,0,0,,8.15,15,2,4,0,0,0,17.2,24,16,16,8,10,0,21,2,0,1,89,52,8.71,1.925,12.2,4.1,5.1,10.7,2.10,hughebr01
21,,Dylan Floro,33,3,1,.750,9.37,15,0,2,0,0,0,16.1,23,17,17,4,4,0,8,1,0,0,75,46,6.29,1.653,12.7,2.2,2.2,4.4,2.00,florody01
22,,Thyago Vieira,31,0,1,.000,2.87,11,0,4,0,0,0,15.2,11,6,5,2,9,0,14,0,1,2,66,149,4.76,1.277,6.3,1.1,5.2,8.0,1.56,vieirth01
23,,Miguel Castro,29,0,0,,5.93,11,0,2,0,0,0,13.2,20,9,9,3,3,0,8,1,0,0,64,72,5.73,1.683,13.2,2.0,2.0,5.3,2.67,castrmi01
24,,Kyle Nelson*,27,0,0,,4.22,11,0,4,0,0,0,10.2,8,5,5,2,4,1,8,0,0,0,42,102,5.23,1.125,6.8,1.7,3.4,6.8,2.00,nelsoky01
25,,Humberto Castellanos,26,0,0,,5.23,7,0,4,0,0,1,10.1,11,6,6,0,4,0,7,2,0,1,48,83,3.55,1.452,9.6,0.0,3.5,6.1,1.75,castehu01
26,,Matt Bowman,33,0,0,,8.10,4,0,1,0,0,0,6.2,8,6,6,1,2,0,4,0,0,0,31,54,4.82,1.500,10.8,1.4,2.7,5.4,2.00,bowmama01
27,,Luis Frías,26,0,1,.000,9.95,7,0,4,0,0,0,6.1,11,8,7,1,4,0,7,0,0,1,31,44,4.90,2.368,15.6,1.4,5.7,9.9,1.75,friaslu01
28,,Cristian Mena,21,0,0,,12.00,1,1,0,0,0,0,3.0,4,4,4,2,3,0,2,0,1,0,15,39,13.50,2.333,12.0,6.0,9.0,6.0,0.67,menacr01
29,,Joe Jacques*,29,0,0,,13.50,1,0,0,0,0,0,1.1,3,2,2,1,1,0,0,0,0,0,7,39,15.17,3.000,20.3,6.8,6.8,0.0,0.00,jacqujo01
30,,Tucker Barnhart,33,0,0,,18.00,1,0,1,0,0,0,1.0,4,2,2,1,0,0,0,0,0,0,7,32,16.17,4.000,36.0,9.0,0.0,0.0,,barnhtu01
31,,Andrew Saalfrank*,26,0,0,,36.00,2,0,1,0,0,0,1.0,2,4,4,0,4,1,0,0,0,1,8,16,15.17,6.000,18.0,0.0,36.0,0.0,0.00,saalfan01
32,,Pavin Smith*,28,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,1,0,0,5,,9.17,1.000,0.0,0.0,9.0,0.0,0.00,smithpa04
,,Team Totals,28.2,89,73,.549,4.62,162,162,162,0,0,38,1443.1,1468,788,741,181,481,32,1313,54,8,49,6195,91,4.09,1.350,9.2,1.1,3.0,8.2,2.73,-9999
