Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Jorge Alcalá,28,54,0,0,58.1,10,4,6,0,0,1,,,-2,-7,-1,1.54,0.19,,,9,3,0.25,0.22,0,P,alcaljo01
Scott Blewett,28,12,0,0,20.1,4,1,3,0,0,1,,,0,0,0,1.77,0.33,,,2,0,0.00,0.22,0,P,blewesc01
Caleb Boushley,30,2,0,0,4,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,boushca01
Matt Bowman,33,5,0,0,7.2,2,1,1,0,0,1,,,0,0,0,2.35,0.4,,,0,0,,,0,P,bowmama01
Byron Buxton,30,94,87,79,767,206,204,2,0,0,1,-18,-29,2,3,1,2.42,2.06,,,,,,,,CF-DH,buxtoby01
Jair Camargo,24,2,2,0,1,0,0,0,0,0,,0,24,0,0,0,0,0,0,0,0,0,,,0,C-DH,camarja01
Diego Castillo,30,7,0,0,10,2,1,1,0,0,1,,,0,0,0,1.8,0.29,,,1,0,0.00,0.22,0,P,castidi01
Diego Castillo,26,3,2,1,15,4,1,3,0,0,1,0,25,1,80,0,2.4,1,,,,,,,,3B-DH,castidi02
Willi Castro,27,158,150,116,1334.1,433,247,178,8,24,0.982,-27,-24,-18,-16,0,2.87,2.25,,,0,0,,,0,SS-2B-LF-CF-3B-P,castrwi01
Carlos Correa,29,84,84,76,712.1,293,119,169,5,26,0.983,1,2,-3,-5,2,3.64,3.39,,,,,,,,SS-DH,correca01
Randy Dobnak,29,5,0,0,9.2,1,0,1,0,0,1,,,0,0,0,0.93,0.2,,,0,0,,,0,P,dobnara01
Daniel Duarte,27,2,0,0,4,1,1,0,0,0,1,,,0,0,0,2.25,0.5,,,0,0,,,0,P,duartda01
Jhoan Durán,26,58,0,0,54.1,20,8,11,1,0,0.95,,,0,0,1,3.15,0.33,,,6,3,0.33,0.22,0,P,duranjh01
Kyle Farmer,33,102,59,29,565,188,57,129,2,17,0.989,0,0,-4,-8,0,2.96,1.58,,,0,0,,,0,2B-3B-SS-P-1B-DH,farmeky01
David Festa,24,14,13,0,64.1,5,1,4,0,0,1,,,-1,-3,0,0.7,0.36,,,10,0,0.00,0.22,0,P,festada01
Kody Funderburk,27,27,0,0,34.2,8,1,6,1,0,0.875,,,0,0,0,1.82,0.26,,,5,1,0.17,0.22,1,P,fundeko01
Brent Headrick,26,1,0,0,3,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,headrbr01
Michael Helman,28,8,1,0,23,3,2,0,1,0,0.667,0,-10,0,0,0,0.78,0.25,,,,,,,,CF-RF-LF-3B,helmami01
